date,state,substance,deaths
2016-04-01,AK,cocaine,11.0
2016-05-01,AK,cocaine,11.0
2016-06-01,AK,cocaine,11.0
2016-07-01,AK,cocaine,13.0
2016-08-01,AK,cocaine,12.0
2016-09-01,AK,cocaine,11.0
2016-10-01,AK,cocaine,13.0
2016-11-01,AK,cocaine,15.0
2016-12-01,AK,cocaine,15.0
2017-01-01,AK,cocaine,15.0
2017-02-01,AK,cocaine,18.0
2017-03-01,AK,cocaine,19.0
2017-04-01,AK,cocaine,16.0
2017-05-01,AK,cocaine,18.0
2017-06-01,AK,cocaine,20.0
2017-07-01,AK,cocaine,20.0
2017-08-01,AK,cocaine,21.0
2017-09-01,AK,cocaine,22.0
2017-10-01,AK,cocaine,20.0
2017-11-01,AK,cocaine,17.0
2017-12-01,AK,cocaine,18.0
2018-01-01,AK,cocaine,16.0
2018-02-01,AK,cocaine,14.0
2018-03-01,AK,cocaine,13.0
2018-04-01,AK,cocaine,15.0
2018-05-01,AK,cocaine,12.0
2018-06-01,AK,cocaine,10.0
2018-11-01,AK,cocaine,10.0
2018-12-01,AK,cocaine,10.0
2019-01-01,AK,cocaine,10.0
2019-02-01,AK,cocaine,11.0
2019-03-01,AK,cocaine,12.0
2019-04-01,AK,cocaine,10.0
2019-05-01,AK,cocaine,12.0
2019-06-01,AK,cocaine,12.0
2019-07-01,AK,cocaine,13.0
2019-08-01,AK,cocaine,12.0
2019-09-01,AK,cocaine,12.0
2019-10-01,AK,cocaine,12.0
2020-04-01,AK,cocaine,10.0
2020-05-01,AK,cocaine,10.0
2020-06-01,AK,cocaine,12.0
2020-07-01,AK,cocaine,13.0
2020-08-01,AK,cocaine,13.0
2020-09-01,AK,cocaine,13.0
2020-10-01,AK,cocaine,15.0
2020-11-01,AK,cocaine,18.0
2020-12-01,AK,cocaine,21.0
2021-01-01,AK,cocaine,20.0
2021-02-01,AK,cocaine,21.0
2021-03-01,AK,cocaine,20.0
2021-04-01,AK,cocaine,19.0
2021-05-01,AK,cocaine,18.0
2021-06-01,AK,cocaine,17.0
2021-07-01,AK,cocaine,17.0
2021-08-01,AK,cocaine,18.0
2021-09-01,AK,cocaine,18.0
2021-10-01,AK,cocaine,17.0
2021-11-01,AK,cocaine,14.0
2021-12-01,AK,cocaine,11.0
2022-01-01,AK,cocaine,10.0
2022-02-01,AK,cocaine,10.0
2022-06-01,AK,cocaine,10.0
2022-08-01,AK,cocaine,10.0
2022-09-01,AK,cocaine,10.0
2022-10-01,AK,cocaine,13.0
2022-11-01,AK,cocaine,16.0
2022-12-01,AK,cocaine,21.0
2023-01-01,AK,cocaine,22.0
2023-02-01,AK,cocaine,21.0
2023-03-01,AK,cocaine,22.0
2023-04-01,AK,cocaine,24.0
2023-05-01,AK,cocaine,27.0
2023-06-01,AK,cocaine,28.0
2023-07-01,AK,cocaine,29.0
2023-08-01,AK,cocaine,31.0
2023-09-01,AK,cocaine,34.0
2023-10-01,AK,cocaine,31.0
2023-11-01,AK,cocaine,30.0
2023-12-01,AK,cocaine,31.0
2024-01-01,AK,cocaine,35.0
2024-02-01,AK,cocaine,36.0
2024-03-01,AK,cocaine,36.0
2024-04-01,AK,cocaine,39.0
2024-05-01,AK,cocaine,39.0
2024-06-01,AK,cocaine,38.0
2024-07-01,AK,cocaine,39.0
2024-08-01,AK,cocaine,37.0
2024-09-01,AK,cocaine,33.0
2024-10-01,AK,cocaine,32.0
2024-11-01,AK,cocaine,34.0
2024-12-01,AK,cocaine,31.0
2025-01-01,AK,cocaine,26.0
2025-02-01,AK,cocaine,28.0
2025-03-01,AK,cocaine,30.0
2025-04-01,AK,cocaine,28.0
2025-05-01,AK,cocaine,28.0
2025-06-01,AK,cocaine,30.0
2025-07-01,AK,cocaine,31.0
2025-08-01,AK,cocaine,31.0
2025-09-01,AK,cocaine,35.0
2025-10-01,AK,cocaine,38.0
2015-10-01,AK,opioid,39.0
2015-11-01,AK,opioid,34.0
2016-01-01,AK,opioid,35.0
2016-02-01,AK,opioid,37.0
2016-03-01,AK,opioid,38.0
2016-04-01,AK,opioid,40.0
2016-05-01,AK,opioid,44.0
2016-06-01,AK,opioid,40.0
2016-07-01,AK,opioid,42.0
2016-08-01,AK,opioid,39.0
2016-09-01,AK,opioid,37.0
2016-10-01,AK,opioid,38.0
2016-11-01,AK,opioid,45.0
2016-12-01,AK,opioid,49.0
2017-01-01,AK,opioid,50.0
2017-02-01,AK,opioid,49.0
2017-03-01,AK,opioid,47.0
2017-04-01,AK,opioid,43.0
2017-05-01,AK,opioid,40.0
2017-06-01,AK,opioid,42.0
2017-07-01,AK,opioid,44.0
2017-08-01,AK,opioid,46.0
2017-09-01,AK,opioid,46.0
2017-10-01,AK,opioid,46.0
2017-11-01,AK,opioid,38.0
2017-12-01,AK,opioid,36.0
2018-01-01,AK,opioid,36.0
2018-02-01,AK,opioid,37.0
2018-03-01,AK,opioid,35.0
2018-04-01,AK,opioid,36.0
2018-05-01,AK,opioid,33.0
2018-06-01,AK,opioid,31.0
2018-07-01,AK,opioid,26.0
2018-08-01,AK,opioid,24.0
2018-09-01,AK,opioid,24.0
2018-10-01,AK,opioid,24.0
2018-11-01,AK,opioid,28.0
2018-12-01,AK,opioid,28.0
2019-01-01,AK,opioid,27.0
2019-02-01,AK,opioid,31.0
2019-03-01,AK,opioid,35.0
2019-04-01,AK,opioid,35.0
2019-05-01,AK,opioid,37.0
2019-06-01,AK,opioid,40.0
