post_id,timestamp,risk_level,confidence,prob_high,prob_medium,prob_low,needs_review,method
,2010-04-27,low,0.04,0.3,0.33,0.37,True,embedding
,2016-11-27,medium,0.071,0.313,0.384,0.303,True,embedding
,2017-03-09,low,0.006,0.334,0.325,0.34,True,embedding
,2017-01-12,low,0.033,0.315,0.326,0.359,True,embedding
,2015-06-01,medium,0.006,0.32,0.343,0.337,True,embedding
,2011-05-07,low,0.003,0.333,0.33,0.336,True,embedding
,2013-02-11,low,0.046,0.324,0.306,0.37,True,embedding
,2010-05-08,low,0.024,0.329,0.319,0.353,True,embedding
,2008-04-01,low,0.022,0.325,0.327,0.349,True,embedding
,2016-04-27,low,0.005,0.329,0.333,0.338,True,embedding
,2011-07-21,low,0.094,0.307,0.292,0.401,True,embedding
,2011-06-24,low,0.038,0.323,0.316,0.361,True,embedding
,2015-08-06,low,0.058,0.318,0.306,0.376,True,embedding
,2013-06-20,low,0.012,0.335,0.318,0.347,True,embedding
,2017-01-13,low,0.005,0.318,0.338,0.343,True,embedding
,2016-12-18,high,0.007,0.344,0.319,0.337,True,embedding
,2014-01-16,low,0.009,0.316,0.337,0.346,True,embedding
,2012-08-17,low,0.01,0.33,0.33,0.34,True,embedding
,2011-01-03,low,0.008,0.32,0.336,0.344,True,embedding
,2016-12-06,low,0.04,0.323,0.314,0.363,True,embedding
,2010-01-31,low,0.023,0.282,0.348,0.371,True,embedding
,2017-07-16,high,0.04,0.372,0.332,0.297,True,embedding
,2010-04-25,low,0.023,0.334,0.309,0.357,True,embedding
,2008-07-23,medium,0.018,0.328,0.346,0.326,True,embedding
,2013-03-10,low,0.031,0.326,0.317,0.357,True,embedding
,2016-06-08,high,0.005,0.343,0.319,0.338,True,embedding
,2015-07-18,low,0.019,0.332,0.317,0.351,True,embedding
,2016-01-11,low,0.016,0.318,0.333,0.349,True,embedding
,2015-10-08,low,0.029,0.324,0.323,0.353,True,embedding
,2017-08-25,low,0.066,0.312,0.31,0.378,True,embedding
,2015-11-03,high,0.006,0.346,0.314,0.34,True,embedding
,2009-08-01,low,0.038,0.332,0.297,0.37,True,embedding
,2017-01-02,medium,0.005,0.311,0.347,0.342,True,embedding
,2017-09-03,low,0.046,0.319,0.316,0.365,True,embedding
,2011-10-28,low,0.11,0.292,0.299,0.409,True,embedding
,2011-08-31,low,0.024,0.318,0.329,0.353,True,embedding
,2010-08-12,low,0.062,0.322,0.293,0.384,True,embedding
,2015-02-23,low,0.027,0.34,0.294,0.367,True,embedding
,2016-02-01,low,0.035,0.313,0.326,0.361,True,embedding
,2008-07-25,low,0.063,0.315,0.306,0.378,True,embedding
,2009-12-05,low,0.028,0.324,0.324,0.352,True,embedding
,2013-01-02,high,0.002,0.335,0.332,0.333,True,embedding
,2015-07-08,low,0.001,0.321,0.339,0.34,True,embedding
,2014-03-10,low,0.019,0.311,0.335,0.354,True,embedding
,2011-02-04,low,0.044,0.32,0.316,0.364,True,embedding
,2014-01-02,low,0.03,0.314,0.328,0.358,True,embedding
,2013-06-20,low,0.018,0.329,0.324,0.347,True,embedding
,2017-08-19,low,0.009,0.317,0.337,0.346,True,embedding
,2008-05-27,low,0.022,0.327,0.324,0.349,True,embedding
,2016-05-27,low,0.008,0.34,0.311,0.348,True,embedding
,2009-02-10,low,0.049,0.323,0.305,0.372,True,embedding
,2017-11-10,low,0.043,0.33,0.297,0.373,True,embedding
,2010-04-11,high,0.078,0.41,0.258,0.332,True,embedding
,2015-12-20,medium,0.019,0.323,0.348,0.329,True,embedding
,2010-02-17,low,0.081,0.308,0.302,0.389,True,embedding
,2011-11-27,low,0.015,0.327,0.329,0.344,True,embedding
,2009-03-09,low,0.01,0.333,0.324,0.343,True,embedding
,2008-05-20,low,0.046,0.318,0.318,0.364,True,embedding
,2012-08-12,medium,0.025,0.334,0.359,0.307,True,embedding
,2009-02-18,low,0.11,0.305,0.28,0.415,True,embedding
,2015-09-03,low,0.033,0.326,0.315,0.359,True,embedding
,2014-05-21,high,0.017,0.354,0.309,0.337,True,embedding
,2012-10-22,low,0.052,0.321,0.306,0.373,True,embedding
,2016-11-19,medium,0.0,0.32,0.34,0.34,True,embedding
,2016-06-01,low,0.02,0.327,0.326,0.347,True,embedding
,2017-04-04,low,0.01,0.335,0.32,0.345,True,embedding
,2017-08-29,low,0.037,0.337,0.289,0.374,True,embedding
,2012-05-21,low,0.079,0.311,0.299,0.39,True,embedding
,2012-02-07,low,0.01,0.322,0.334,0.344,True,embedding
,2009-10-23,high,0.008,0.348,0.311,0.34,True,embedding
,2016-07-04,low,0.022,0.32,0.329,0.351,True,embedding
,2015-05-09,high,0.0,0.346,0.308,0.346,True,embedding
,2015-07-09,low,0.019,0.327,0.327,0.346,True,embedding
,2015-05-12,low,0.018,0.322,0.33,0.348,True,embedding
,2012-11-03,low,0.012,0.326,0.331,0.343,True,embedding
,2015-10-20,high,0.031,0.368,0.337,0.295,True,embedding
,2009-06-08,low,0.031,0.32,0.325,0.356,True,embedding
,2012-10-17,medium,0.017,0.333,0.35,0.316,True,embedding
,2016-12-05,medium,0.0,0.32,0.34,0.34,True,embedding
,2013-12-31,medium,0.009,0.317,0.346,0.337,True,embedding
,2015-11-16,low,0.019,0.331,0.319,0.35,True,embedding
,2015-11-05,low,0.008,0.349,0.294,0.357,True,embedding
,2014-05-12,low,0.035,0.314,0.326,0.361,True,embedding
,2013-06-25,medium,0.031,0.311,0.36,0.329,True,embedding
,2014-11-09,low,0.016,0.325,0.33,0.346,True,embedding
,2008-07-20,low,0.039,0.319,0.321,0.36,True,embedding
,2015-10-18,low,0.023,0.331,0.315,0.354,True,embedding
,2015-02-17,low,0.027,0.348,0.278,0.375,True,embedding
,2015-12-05,low,0.033,0.321,0.323,0.356,True,embedding
,2011-07-25,medium,0.007,0.334,0.341,0.325,True,embedding
,2017-11-18,low,0.034,0.328,0.31,0.362,True,embedding
,2013-05-26,low,0.003,0.329,0.334,0.337,True,embedding
,2013-06-16,low,0.041,0.313,0.323,0.364,True,embedding
,2011-12-13,low,0.032,0.335,0.298,0.367,True,embedding
,2014-01-23,low,0.022,0.302,0.338,0.36,True,embedding
,2014-05-12,low,0.026,0.32,0.327,0.353,True,embedding
,2010-02-04,low,0.014,0.328,0.329,0.343,True,embedding
,2014-07-30,low,0.055,0.291,0.327,0.382,True,embedding
,2015-05-14,medium,0.041,0.331,0.372,0.297,True,embedding
,2015-08-01,medium,0.044,0.324,0.368,0.308,True,embedding
,2012-10-18,low,0.115,0.302,0.281,0.417,True,embedding
,2008-06-24,low,0.046,0.312,0.321,0.367,True,embedding
,2016-02-21,medium,0.034,0.32,0.357,0.323,True,embedding
,2010-11-02,low,0.078,0.326,0.269,0.404,True,embedding
,2013-09-20,low,0.034,0.323,0.319,0.357,True,embedding
,2017-05-19,low,0.003,0.344,0.308,0.347,True,embedding
,2014-05-01,low,0.014,0.347,0.292,0.361,True,embedding
,2011-11-06,low,0.065,0.311,0.312,0.377,True,embedding
,2008-04-10,low,0.063,0.313,0.311,0.376,True,embedding
,2014-03-18,medium,0.027,0.327,0.354,0.318,True,embedding
,2016-04-01,high,0.021,0.353,0.332,0.315,True,embedding
,2012-09-23,low,0.003,0.323,0.337,0.34,True,embedding
,2013-01-15,medium,0.007,0.323,0.342,0.335,True,embedding
,2009-09-04,low,0.068,0.318,0.295,0.386,True,embedding
,2012-04-25,high,0.027,0.354,0.319,0.327,True,embedding
,2016-06-06,low,0.004,0.333,0.331,0.337,True,embedding
,2017-03-13,high,0.004,0.338,0.334,0.328,True,embedding
,2008-04-16,low,0.017,0.325,0.329,0.346,True,embedding
,2009-12-04,low,0.02,0.335,0.311,0.355,True,embedding
,2012-02-13,high,0.013,0.345,0.324,0.332,True,embedding
,2017-01-06,medium,0.008,0.331,0.339,0.33,True,embedding
,2008-04-19,medium,0.051,0.325,0.376,0.298,True,embedding
,2013-10-31,medium,0.073,0.312,0.385,0.303,True,embedding
,2016-06-24,high,0.008,0.343,0.321,0.335,True,embedding
,2011-11-02,medium,0.002,0.327,0.337,0.335,True,embedding
,2010-02-12,medium,0.019,0.329,0.348,0.323,True,embedding
,2011-09-25,low,0.005,0.337,0.321,0.342,True,embedding
,2015-11-28,high,0.004,0.338,0.334,0.328,True,embedding
,2016-09-09,low,0.005,0.34,0.315,0.345,True,embedding
,2017-10-06,low,0.011,0.331,0.327,0.342,True,embedding
,2010-02-10,high,0.004,0.339,0.326,0.335,True,embedding
,2016-12-16,medium,0.015,0.321,0.347,0.332,True,embedding
,2012-10-16,low,0.005,0.334,0.328,0.339,True,embedding
,2016-11-07,low,0.014,0.326,0.33,0.344,True,embedding
,2015-10-14,medium,0.003,0.335,0.338,0.327,True,embedding
,2017-02-13,high,0.013,0.346,0.321,0.333,True,embedding
,2016-05-05,medium,0.007,0.337,0.344,0.319,True,embedding
,2014-11-11,low,0.014,0.319,0.334,0.348,True,embedding
,2010-10-03,high,0.009,0.341,0.326,0.332,True,embedding
,2014-01-11,medium,0.014,0.328,0.343,0.329,True,embedding
,2013-07-12,low,0.052,0.312,0.318,0.37,True,embedding
,2011-11-28,medium,0.007,0.336,0.343,0.321,True,embedding
,2016-03-01,high,0.004,0.345,0.315,0.341,True,embedding
,2013-03-22,low,0.003,0.329,0.334,0.337,True,embedding
,2015-04-05,low,0.018,0.322,0.33,0.348,True,embedding
,2010-11-21,high,0.036,0.359,0.318,0.323,True,embedding
,2009-11-20,low,0.003,0.336,0.325,0.339,True,embedding
,2009-07-17,low,0.014,0.329,0.328,0.343,True,embedding
,2017-01-20,low,0.008,0.323,0.334,0.342,True,embedding
,2011-08-22,low,0.035,0.315,0.325,0.36,True,embedding
,2011-12-27,high,0.017,0.35,0.317,0.333,True,embedding
,2012-03-17,medium,0.035,0.334,0.369,0.297,True,embedding
,2014-04-01,low,0.01,0.332,0.325,0.342,True,embedding
,2008-08-23,low,0.012,0.328,0.33,0.342,True,embedding
,2015-09-05,low,0.025,0.332,0.311,0.357,True,embedding
,2009-10-23,medium,0.003,0.312,0.345,0.342,True,embedding
,2011-04-16,low,0.017,0.298,0.342,0.359,True,embedding
,2013-04-20,medium,0.022,0.317,0.352,0.33,True,embedding
,2013-04-30,medium,0.008,0.324,0.342,0.334,True,embedding
,2012-06-20,medium,0.002,0.333,0.335,0.332,True,embedding
,2008-03-20,low,0.029,0.333,0.305,0.362,True,embedding
,2014-11-03,low,0.012,0.332,0.324,0.344,True,embedding
,2011-03-03,low,0.007,0.337,0.319,0.344,True,embedding
,2011-01-27,low,0.067,0.314,0.305,0.381,True,embedding
,2013-11-01,medium,0.001,0.334,0.335,0.331,True,embedding
,2014-05-17,low,0.006,0.336,0.322,0.342,True,embedding
,2016-09-21,medium,0.008,0.336,0.344,0.32,True,embedding
,2013-04-04,low,0.015,0.323,0.331,0.346,True,embedding
,2017-09-28,high,0.011,0.341,0.329,0.33,True,embedding
,2010-10-19,low,0.011,0.327,0.331,0.342,True,embedding
,2015-07-03,high,0.016,0.344,0.328,0.328,True,embedding
,2015-03-15,medium,0.028,0.315,0.357,0.329,True,embedding
,2017-07-18,medium,0.002,0.33,0.336,0.334,True,embedding
,2016-02-24,medium,0.027,0.321,0.353,0.326,True,embedding
,2010-04-03,medium,0.007,0.329,0.339,0.332,True,embedding
,2016-10-08,medium,0.01,0.337,0.347,0.316,True,embedding
,2015-03-20,medium,0.004,0.338,0.342,0.32,True,embedding
,2017-05-31,high,0.002,0.335,0.332,0.333,True,embedding
,2013-07-10,low,0.003,0.34,0.316,0.343,True,embedding
,2013-03-18,low,0.032,0.335,0.299,0.367,True,embedding
,2013-09-13,low,0.004,0.333,0.33,0.337,True,embedding
,2011-11-23,low,0.045,0.321,0.313,0.366,True,embedding
,2009-07-26,low,0.01,0.322,0.334,0.344,True,embedding
,2015-07-03,high,0.021,0.348,0.327,0.324,True,embedding
,2016-11-22,high,0.009,0.352,0.305,0.343,True,embedding
,2014-09-22,high,0.004,0.337,0.331,0.333,True,embedding
,2013-02-22,low,0.006,0.328,0.333,0.339,True,embedding
,2016-07-25,low,0.002,0.326,0.336,0.338,True,embedding
,2015-07-27,high,0.0,0.343,0.343,0.314,True,embedding
,2010-08-13,low,0.014,0.326,0.33,0.344,True,embedding
,2009-10-04,low,0.003,0.336,0.325,0.339,True,embedding
,2015-02-23,medium,0.021,0.31,0.355,0.334,True,embedding
,2016-08-31,medium,0.001,0.334,0.335,0.331,True,embedding
,2015-12-10,low,0.003,0.297,0.35,0.353,True,embedding
,2011-09-15,medium,0.001,0.336,0.337,0.327,True,embedding
,2017-06-17,medium,0.003,0.334,0.337,0.328,True,embedding
,2010-06-18,high,0.007,0.355,0.297,0.348,True,embedding
,2008-07-28,low,0.021,0.331,0.317,0.352,True,embedding
,2015-05-30,high,0.009,0.341,0.332,0.326,True,embedding
,2009-08-23,high,0.011,0.343,0.332,0.325,True,embedding
,2011-02-03,low,0.004,0.348,0.3,0.352,True,embedding
,2014-04-18,low,0.066,0.316,0.303,0.382,True,embedding
,2012-10-04,low,0.05,0.331,0.288,0.381,True,embedding
,2014-12-03,medium,0.012,0.328,0.342,0.33,True,embedding
,2017-11-14,low,0.014,0.325,0.331,0.345,True,embedding
,2010-07-26,low,0.009,0.337,0.316,0.346,True,embedding
,2011-08-30,low,0.031,0.335,0.299,0.366,True,embedding
,2016-07-06,high,0.0,0.344,0.344,0.312,True,embedding
,2010-06-25,high,0.005,0.339,0.326,0.334,True,embedding
,2016-11-27,low,0.016,0.29,0.347,0.363,True,embedding
,2017-08-14,high,0.005,0.339,0.327,0.334,True,embedding
,2013-11-23,medium,0.025,0.319,0.353,0.328,True,embedding
,2015-07-26,low,0.014,0.336,0.314,0.35,True,embedding
,2009-09-06,low,0.037,0.336,0.29,0.373,True,embedding
,2012-07-14,low,0.005,0.34,0.314,0.345,True,embedding
,2017-03-20,low,0.015,0.313,0.336,0.351,True,embedding
,2010-08-09,low,0.018,0.334,0.314,0.352,True,embedding
,2013-11-01,medium,0.001,0.334,0.335,0.331,True,embedding
,2012-12-02,low,0.01,0.316,0.337,0.347,True,embedding
,2009-04-29,low,0.05,0.329,0.292,0.379,True,embedding
,2017-01-16,medium,0.004,0.36,0.364,0.276,True,embedding
,2014-06-22,high,0.007,0.34,0.333,0.326,True,embedding
,2011-08-30,low,0.002,0.335,0.328,0.337,True,embedding
,2009-10-20,low,0.051,0.35,0.249,0.401,True,embedding
,2014-02-08,low,0.071,0.319,0.291,0.39,True,embedding
,2017-01-18,low,0.002,0.32,0.339,0.341,True,embedding
,2012-06-13,low,0.012,0.329,0.33,0.342,True,embedding
,2015-11-20,high,0.016,0.36,0.296,0.344,True,embedding
,2013-10-27,low,0.048,0.324,0.304,0.372,True,embedding
,2012-09-10,medium,0.028,0.324,0.352,0.324,True,embedding
,2014-07-06,low,0.06,0.316,0.308,0.376,True,embedding
,2013-05-25,medium,0.015,0.325,0.345,0.33,True,embedding
,2017-08-08,low,0.001,0.331,0.334,0.335,True,embedding
,2012-02-05,low,0.033,0.325,0.317,0.358,True,embedding
,2009-05-27,high,0.004,0.338,0.334,0.328,True,embedding
,2009-04-18,low,0.013,0.319,0.334,0.347,True,embedding
,2013-04-29,low,0.027,0.323,0.325,0.352,True,embedding
,2013-07-11,low,0.047,0.318,0.317,0.365,True,embedding
,2014-02-03,medium,0.038,0.31,0.364,0.326,True,embedding
,2017-03-18,low,0.011,0.33,0.329,0.341,True,embedding
