post_id,rule_risk_level,embedding_risk_level,llm_risk_level,final_risk_level,ensemble_confidence,method_agreement,sources_used
0,low,low,,low,0.16,True,embedding+rule
1,low,medium,,medium,0.126,False,embedding+rule
2,low,low,,low,0.003,True,embedding+rule
3,low,low,,low,0.017,True,embedding+rule
4,low,medium,,medium,0.003,False,embedding+rule
5,low,low,,low,0.002,True,embedding+rule
6,low,low,,low,0.023,True,embedding+rule
7,low,low,,low,0.012,True,embedding+rule
8,low,low,,low,0.151,True,embedding+rule
9,low,low,,low,0.151,True,embedding+rule
10,low,low,,low,0.047,True,embedding+rule
11,low,low,,low,0.019,True,embedding+rule
12,low,low,,low,0.029,True,embedding+rule
13,low,low,,low,0.006,True,embedding+rule
14,low,low,,low,0.003,True,embedding+rule
15,low,high,,medium,0.03,False,embedding+rule
16,low,low,,low,0.004,True,embedding+rule
17,low,low,,low,0.145,True,embedding+rule
18,low,low,,low,0.004,True,embedding+rule
19,low,low,,low,0.08,True,embedding+rule
20,low,low,,low,0.152,True,embedding+rule
21,high,high,,high,0.276,True,embedding+rule
22,low,low,,low,0.041,True,embedding+rule
23,low,medium,,medium,0.03,False,embedding+rule
24,low,low,,low,0.164,True,embedding+rule
25,low,high,,medium,0.028,False,embedding+rule
26,low,low,,low,0.009,True,embedding+rule
27,low,low,,low,0.008,True,embedding+rule
28,low,low,,low,0.015,True,embedding+rule
29,low,low,,low,0.033,True,embedding+rule
30,low,high,,medium,0.003,False,embedding+rule
31,low,low,,low,0.019,True,embedding+rule
32,low,medium,,medium,0.003,False,embedding+rule
33,low,low,,low,0.023,True,embedding+rule
34,low,low,,low,0.055,True,embedding+rule
35,low,low,,low,0.012,True,embedding+rule
36,low,low,,low,0.031,True,embedding+rule
37,low,low,,low,0.013,True,embedding+rule
38,low,low,,low,0.018,True,embedding+rule
39,low,low,,low,0.032,True,embedding+rule
40,low,low,,low,0.014,True,embedding+rule
41,low,high,,medium,0.001,False,embedding+rule
42,low,low,,low,0.141,True,embedding+rule
43,low,low,,low,0.009,True,embedding+rule
44,low,low,,low,0.022,True,embedding+rule
45,low,low,,low,0.015,True,embedding+rule
46,low,low,,low,0.009,True,embedding+rule
47,low,low,,low,0.019,True,embedding+rule
48,low,low,,low,0.041,True,embedding+rule
