post_id,risk_level,confidence
0,low,0.9972
1,medium,0.9957
2,low,0.9941
3,low,0.9957
4,medium,0.9955
5,low,0.992
6,low,0.9835
7,low,0.9986
8,low,0.9983
9,low,0.9753
10,low,0.998
11,low,0.9958
12,low,0.9987
13,low,0.9973
14,low,0.9721
15,high,0.7463
16,medium,0.9863
17,medium,0.5299
18,low,0.9925
19,low,0.9923
20,low,0.9955
21,high,0.9385
22,low,0.4769
23,medium,0.9922
24,low,0.9981
25,medium,0.9627
26,low,0.9694
27,medium,0.969
28,low,0.9966
29,low,0.9155
30,medium,0.9361
31,low,0.9987
32,medium,0.9964
33,low,0.9973
34,low,0.9986
35,low,0.9312
36,low,0.9981
37,low,0.9768
38,low,0.9428
39,low,0.9988
40,low,0.9934
41,medium,0.9903
42,low,0.9844
43,low,0.9141
44,low,0.9974
45,low,0.9829
46,low,0.9966
47,low,0.9078
48,low,0.997
49,medium,0.8955
50,low,0.9976
51,low,0.9952
52,medium,0.4863
53,medium,0.9911
54,low,0.997
55,low,0.5626
56,low,0.9849
57,low,0.9943
58,medium,0.994
59,low,0.9978
60,low,0.9969
61,medium,0.9696
62,low,0.9956
63,medium,0.8136
64,low,0.9954
65,low,0.972
66,low,0.9933
67,low,0.9981
68,low,0.9792
69,high,0.8445
70,low,0.8192
71,medium,0.7754
72,low,0.9789
73,low,0.9947
74,low,0.9766
75,high,0.9314
76,low,0.9958
77,medium,0.9908
78,medium,0.9578
79,medium,0.9935
80,low,0.9951
81,low,0.9044
82,low,0.9895
83,medium,0.9967
84,low,0.9824
85,low,0.997
86,low,0.9947
87,low,0.8037
88,low,0.9963
89,medium,0.9311
90,low,0.9873
91,low,0.9865
92,low,0.9983
93,low,0.9894
94,low,0.9446
95,low,0.9899
96,low,0.8935
97,low,0.9978
98,medium,0.9946
99,medium,0.872
100,low,0.9986
101,low,0.9943
102,medium,0.9958
103,low,0.9987
104,low,0.9964
105,medium,0.6904
106,low,0.9714
107,low,0.9981
108,low,0.9969
109,medium,0.9842
110,high,0.8467
111,medium,0.9287
112,medium,0.9926
113,low,0.9988
114,medium,0.9588
115,low,0.9962
116,medium,0.9318
117,low,0.9981
118,low,0.9955
119,medium,0.9454
120,medium,0.8148
121,medium,0.9967
122,medium,0.9964
123,medium,0.872
124,medium,0.9896
125,medium,0.9944
126,low,0.9928
127,medium,0.99
128,low,0.9925
129,low,0.9968
130,medium,0.9697
131,medium,0.9922
132,low,0.9969
133,low,0.9979
134,medium,0.9913
135,medium,0.9409
136,medium,0.6402
137,low,0.977
138,medium,0.9886
139,medium,0.9918
140,low,0.9948
141,medium,0.9935
142,medium,0.744
143,low,0.9891
144,low,0.9975
145,medium,0.9491
146,medium,0.7222
147,low,0.9712
148,low,0.9909
149,low,0.9952
150,medium,0.6431
151,medium,0.995
152,low,0.9357
153,low,0.9826
154,low,0.9888
155,medium,0.784
156,low,0.9945
157,medium,0.9923
158,medium,0.9939
159,medium,0.9851
160,low,0.9904
161,low,0.9948
162,low,0.9974
163,low,0.9982
164,medium,0.9875
165,low,0.992
166,medium,0.9952
167,low,0.9969
168,medium,0.9372
169,low,0.9819
170,medium,0.9514
171,medium,0.9956
172,medium,0.9919
173,medium,0.9964
174,medium,0.9774
175,medium,0.9886
176,medium,0.9928
