post_id,timestamp,risk_level,combined_score,substance_score,distress_score,behavior_score,evidence,substances,method,routing
,2010-04-27,low,0.28,0.0,0.8,0.0,"[""Distress: desperation (phrases: out of)""]",[],rule_based,send_to_llm
,2016-11-27,low,0.18,0.6,0.0,0.0,"[""Substance: suboxone (weight=0.60, ctx=active)""]","[""suboxone""]",rule_based,send_to_llm
,2017-03-09,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2017-01-12,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2015-06-01,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2011-05-07,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2013-02-11,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2010-05-08,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2008-04-01,low,0.28,0.0,0.8,0.0,"[""Distress: desperation (phrases: out of)""]",[],rule_based,send_to_llm
,2016-04-27,low,0.297,0.0,0.85,0.0,"[""Distress: withdrawal (phrases: sick, sweating)""]",[],rule_based,send_to_llm
,2011-07-21,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2011-06-24,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2015-08-06,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2013-06-20,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2017-01-13,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2016-12-18,low,0.054,0.18,0.0,0.0,"[""Substance: withdrawal (weight=0.18, ctx=negated)"", ""Substance: oxycodone (weight=0.17, ctx=negated)""]","[""withdrawal"", ""oxycodone""]",rule_based,rule_based_low
,2014-01-16,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2012-08-17,low,0.28,0.0,0.8,0.0,"[""Distress: craving (phrases: craving)"", ""Distress: desperation (phrases: need more)"", ""Escalation language: 1 pattern(s) matched""]",[],rule_based,send_to_llm
,2011-01-03,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2016-12-06,low,0.12,0.4,0.0,0.0,"[""Substance: vicodin (weight=0.40, ctx=active)""]","[""vicodin""]",rule_based,rule_based_low
,2010-01-31,low,0.28,0.0,0.8,0.0,"[""Distress: desperation (phrases: out of)""]",[],rule_based,send_to_llm
,2017-07-16,high,0.512,0.6,0.0,0.95,"[""Substance: suboxone (weight=0.60, ctx=active)"", ""Behavior: route_of_administration (1 pattern match)""]","[""suboxone""]",rule_based,send_to_llm
,2010-04-25,low,0.06,0.2,0.0,0.0,"[""Substance: fentanyl (weight=0.20, ctx=negated)""]","[""fentanyl""]",rule_based,rule_based_low
,2008-07-23,low,0.042,0.14,0.0,0.0,"[""Substance: xanax (weight=0.14, ctx=negated)""]","[""xanax""]",rule_based,rule_based_low
,2013-03-10,low,0.297,0.0,0.85,0.0,"[""Distress: withdrawal (phrases: sick)""]",[],rule_based,send_to_llm
,2016-06-08,low,0.051,0.17,0.0,0.0,"[""Substance: vicodin (weight=0.08, ctx=negated)"", ""Substance: oxycodone (weight=0.17, ctx=negated)""]","[""vicodin"", ""oxycodone""]",rule_based,rule_based_low
,2015-07-18,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2016-01-11,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2015-10-08,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2017-08-25,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2015-11-03,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2009-08-01,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2017-01-02,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2017-09-03,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2011-10-28,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2011-08-31,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2010-08-12,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2015-02-23,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2016-02-01,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2008-07-25,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2009-12-05,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2013-01-02,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2015-07-08,low,0.28,0.0,0.8,0.0,"[""Distress: desperation (phrases: out of)""]",[],rule_based,send_to_llm
,2014-03-10,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2011-02-04,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2014-01-02,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2013-06-20,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2017-08-19,low,0.03,0.1,0.0,0.0,"[""Substance: adderall (weight=0.10, ctx=negated)""]","[""adderall""]",rule_based,rule_based_low
,2008-05-27,low,0.06,0.2,0.0,0.0,"[""Substance: heroin (weight=0.20, ctx=negated)""]","[""heroin""]",rule_based,rule_based_low
,2016-05-27,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2009-02-10,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2017-11-10,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2010-04-11,high,0.35,0.0,1.0,0.0,"[""Distress: overdose (phrases: too much)""]",[],rule_based,send_to_llm
,2015-12-20,low,0.045,0.15,0.0,0.0,"[""Substance: suboxone (weight=0.12, ctx=negated)"", ""Substance: methadone (weight=0.15, ctx=negated)""]","[""suboxone"", ""methadone""]",rule_based,rule_based_low
,2010-02-17,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2011-11-27,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2009-03-09,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2008-05-20,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2012-08-12,medium,0.542,0.7,0.95,0.0,"[""Substance: xanax (weight=0.70, ctx=active)"", ""Urgency language: 1 pattern(s) matched""]","[""xanax""]",rule_based,send_to_llm
,2009-02-18,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2015-09-03,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2014-05-21,low,0.051,0.17,0.0,0.0,"[""Substance: oxycodone (weight=0.17, ctx=negated)""]","[""oxycodone""]",rule_based,rule_based_low
,2012-10-22,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2016-11-19,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2016-06-01,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2017-04-04,low,0.28,0.0,0.8,0.0,"[""Distress: desperation (phrases: out of)""]",[],rule_based,send_to_llm
,2017-08-29,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2012-05-21,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2012-02-07,medium,0.315,0.0,0.9,0.0,"[""Distress: relapse (phrases: back on)""]",[],rule_based,send_to_llm
,2009-10-23,high,0.35,0.0,1.0,0.0,"[""Distress: overdose (phrases: too much)""]",[],rule_based,send_to_llm
,2016-07-04,low,0.03,0.1,0.0,0.0,"[""Substance: adderall (weight=0.10, ctx=negated)""]","[""adderall""]",rule_based,rule_based_low
,2015-05-09,low,0.28,0.0,0.8,0.0,"[""Distress: desperation (phrases: desperate)""]",[],rule_based,send_to_llm
,2015-07-09,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2015-05-12,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2012-11-03,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2015-10-20,high,0.742,0.2,1.0,0.95,"[""Substance: heroin (weight=0.20, ctx=negated)"", ""Distress: relapse (phrases: relapsed)"", ""Distress: overdose (phrases: overdose)"", ""Behavior: route_of_administration (1 pattern match)""]","[""heroin""]",rule_based,rule_based_high
,2009-06-08,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2012-10-17,medium,0.374,0.14,0.95,0.0,"[""Substance: xanax (weight=0.14, ctx=negated)"", ""Urgency language: 1 pattern(s) matched""]","[""xanax""]",rule_based,send_to_llm
,2016-12-05,low,0.225,0.75,0.0,0.0,"[""Substance: methadone (weight=0.75, ctx=active)""]","[""methadone""]",rule_based,send_to_llm
,2013-12-31,low,0.28,0.0,0.8,0.0,"[""Distress: desperation (phrases: out of)""]",[],rule_based,send_to_llm
,2015-11-16,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2015-11-05,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2014-05-12,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2013-06-25,medium,0.332,0.0,0.95,0.0,"[""Urgency language: 1 pattern(s) matched""]",[],rule_based,send_to_llm
,2014-11-09,low,0.27,0.9,0.0,0.0,"[""Substance: withdrawal (weight=0.90, ctx=active)""]","[""withdrawal""]",rule_based,send_to_llm
,2008-07-20,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2015-10-18,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2015-02-17,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2015-12-05,low,0.297,0.0,0.85,0.0,"[""Distress: withdrawal (phrases: shaking)""]",[],rule_based,send_to_llm
,2011-07-25,medium,0.331,0.17,0.8,0.0,"[""Substance: methadone (weight=0.15, ctx=negated)"", ""Substance: oxycodone (weight=0.17, ctx=negated)"", ""Distress: desperation (phrases: out of)""]","[""methadone"", ""oxycodone""]",rule_based,send_to_llm
,2017-11-18,low,0.255,0.85,0.0,0.0,"[""Substance: percocet (weight=0.85, ctx=active)""]","[""percocet""]",rule_based,send_to_llm
,2013-05-26,low,0.28,0.0,0.8,0.0,"[""Distress: desperation (phrases: out of)""]",[],rule_based,send_to_llm
,2013-06-16,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2011-12-13,low,0.255,0.85,0.0,0.0,"[""Substance: vicodin (weight=0.40, ctx=active)"", ""Substance: oxycodone (weight=0.85, ctx=active)""]","[""vicodin"", ""oxycodone""]",rule_based,send_to_llm
,2014-01-23,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2014-05-12,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2010-02-04,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2014-07-30,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2015-05-14,medium,0.507,0.7,0.85,0.0,"[""Substance: xanax (weight=0.70, ctx=active)"", ""Distress: withdrawal (phrases: sweating)""]","[""xanax""]",rule_based,send_to_llm
,2015-08-01,medium,0.316,0.18,0.75,0.0,"[""Substance: withdrawal (weight=0.18, ctx=negated)"", ""Substance: methadone (weight=0.15, ctx=negated)"", ""Distress: hopelessness (phrases: hopeless)""]","[""withdrawal"", ""methadone""]",rule_based,send_to_llm
,2012-10-18,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2008-06-24,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2016-02-21,low,0.042,0.14,0.0,0.0,"[""Substance: xanax (weight=0.14, ctx=negated)"", ""Substance: klonopin (weight=0.08, ctx=negated)""]","[""xanax"", ""klonopin""]",rule_based,rule_based_low
,2010-11-02,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2013-09-20,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2017-05-19,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2014-05-01,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2011-11-06,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2008-04-10,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
,2014-03-18,medium,0.374,0.14,0.95,0.0,"[""Substance: xanax (weight=0.14, ctx=negated)"", ""Substance: klonopin (weight=0.08, ctx=negated)"", ""Urgency language: 1 pattern(s) matched""]","[""xanax"", ""klonopin""]",rule_based,send_to_llm
,2016-04-01,high,0.41,0.2,1.0,0.0,"[""Substance: fentanyl (weight=0.20, ctx=negated)"", ""Substance: methadone (weight=0.15, ctx=negated)"", ""Substance: oxycodone (weight=0.17, ctx=negated)"", ""Distress: overdose (phrases: too much)""]","[""fentanyl"", ""methadone"", ""oxycodone""]",rule_based,send_to_llm
,2012-09-23,low,0.054,0.18,0.0,0.0,"[""Substance: withdrawal (weight=0.18, ctx=negated)""]","[""withdrawal""]",rule_based,rule_based_low
,2013-01-15,low,0.28,0.0,0.0,0.8,"[""Behavior: concealment (1 pattern match)""]",[],rule_based,send_to_llm
,2009-09-04,low,0.0,0.0,0.0,0.0,[],[],rule_based,rule_based_low
